P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_TYPE,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,HABITABILITY
TOI-1333 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,753.2571,Mass,15.648,4.720219,0.0626,0.073,85.7,105.0,TOI-1333,,9.438,200.492,6274.0,1.46,1.93,0.119,2.33,0.713,4.03,6.9381262,48.137596,3.0762779,0.1965924,0.0046555333,0.062766798,0.0580302,0.0671698,0.062641773,1321.3309,1534.3262,,Jovian,F,5.1641637,6.135695,5.3960472,0.46727059,0,0,Hot,0,0.058952585,0
GJ 832 b,Radial Velocity,Anglo-Australian Telescope,2008,314.65012,Mass,13.8,3853.0,3.7,0.05,51.0,207.0,GJ 832,M2/3 V,8.66,4.96435,3472.0,0.45,0.44,-0.3,8.1,-1.585,4.79,4.7750113,22.800733,1.6522271,0.1197266,0.31206786,3.704625,3.515,3.885,3.7011572,0.0019016917,53.171749,,Jovian,M,0.026001596,0.43537528,0.029585104,0.38848702,0,0,Cold,0,0.067151337,0
Proxima Cen b,Radial Velocity,European Southern Observatory,2016,1.07,Msini,1.03,11.1868,0.04856,0.02,,3.3,Proxima Cen,M5.5 V,11.01,1.30119,2900.0,0.12,0.14,,,-2.796,5.16,1.0192325,1.038835,1.0085776,0.97920158,0.00098709173,0.048569712,0.0475888,0.0495312,0.048562428,0.67846824,231.1796,261.08103,Terran,M,0.001599558,0.10798508,0.0071277074,0.22755071,1,1,Warm,1,0.86414229,1
GJ 3222 b,Radial Velocity,Multiple Observatories,2022,11.44182,Msini,3.4,10.66669,0.091,0.929,,290.895,GJ 3222,K0V,6.9,18.23817,5257.46,0.89,0.93,0.16,,-0.252,4.43,1.8344594,3.3652412,0.98977682,0.29111083,0.00015139796,0.13026837,0.006461,0.175539,0.10614203,182.65095,676.32588,,Neptunian,K,0.5597576,2.0200577,0.79792616,0.44375963,0,0,Hot,0,0.20129518,0
HD 114783 c,Radial Velocity,W. M. Keck Observatory,2018,603.87397,Mass,13.4,4352.0,5.0,0.05,159.0,153.0,HD 114783,K1 V,7.56,21.0628,5126.74,0.9,0.84,0.151,6.0,-0.373,4.53,6.7130635,45.065222,3.3630762,0.25097584,0.41595542,5.00625,4.75,5.25,5.0015638,0.016966941,91.896041,,Jovian,K,0.42364297,1.7573722,0.63980505,0.46558347,0,0,Cold,0,0.08460658,0
Kepler-1089 b,Transit,Kepler,2016,4.01,M-R relationship,1.83,5.1324856,0.0497,0.0,89.54,,Kepler-1089,,16.233,259.328,3753.0,0.52,0.49,-0.09,3.72,-1.297,4.76,1.4802894,2.1912568,1.1974081,0.65432137,0.00098217448,0.0497,0.0497,0.0497,0.0497,20.430887,541.5911,611.64204,Superterran,M,0.05046613,0.60654603,0.05031095,0.35808251,0,0,Hot,0,0.32617528,0
HD 218566 b,Radial Velocity,W. M. Keck Observatory,2010,63.566,Msini,9.32,225.7,0.69,0.3,,44.0,HD 218566,K3V,8.6,28.8274,4730.0,0.76,0.85,0.28,8.5,-0.452,4.46,2.6115869,6.8203863,0.7318011,0.078519431,0.021128539,0.72105,0.483,0.897,0.69800196,0.77764453,235.05602,,Jovian,K,0.35318317,1.6045888,0.30588383,0.46637206,1,1,Warm,0,0.42310876,0
HD 221287 b,Radial Velocity,La Silla Observatory,2007,982.05,Msini,13.1,456.1,1.25,0.08,,98.0,HD 221287,F7 V,7.82,55.9231,6304.0,1.25,1.14,-0.03,1.3,0.22,4.43,8.6582705,74.965649,5.7225686,0.4368373,0.1061429,1.254,1.15,1.35,1.2510021,1.0655509,258.50604,,Jovian,F,1.6595869,3.4782738,5.3948371,0.40257988,1,1,Warm,0,0.39277728,0
HD 222076 b,Radial Velocity,Multiple Observatories,2016,495.8148,Msini,13.5,871.0,1.83,0.08,,241.0,HD 222076,K0 III,7.47,91.1538,4806.0,1.07,4.1,0.05,,0.929,3.31,6.0602824,36.727022,2.7205202,0.20152001,0.1303175,1.835856,1.6836,1.9764,1.8314671,2.5438531,321.32917,,Jovian,K,8.4918048,7.8679894,0.39064735,0.47185916,0,0,Hot,0,0.31701125,0
HD 224693 b,Radial Velocity,W. M. Keck Observatory,2006,222.481,Msini,14.0,26.6904,0.191,0.104,,358.0,HD 224693,G2 V,8.23,93.5015,5894.0,1.31,1.93,0.27,4.12,0.61,4.38,3.9864144,15.8915,1.1351071,0.081079082,0.009479829,0.19203293,0.171136,0.210864,0.19125915,112.27801,827.53924,,Jovian,G,4.0738028,5.4495892,2.7092998,0.4956002,0,0,Hot,0,0.073687034,0
